,R-squared
"('Emissions Score', 'Environmental Innovation Score', 'Human Rights Score', 'Workforce Score')",0.044
"('Emissions Score', 'Environmental Innovation Score', 'Product Responsibility Score', 'Resource Use Score')",0.045
"('Emissions Score', 'Environmental Innovation Score', 'Product Responsibility Score', 'Shareholders Score')",0.017
"('Emissions Score', 'Environmental Innovation Score', 'Product Responsibility Score', 'Workforce Score')",0.025
"('Emissions Score', 'Environmental Innovation Score', 'Resource Use Score', 'Shareholders Score')",0.044
"('Emissions Score', 'Environmental Innovation Score', 'Resource Use Score', 'Workforce Score')",0.045
"('Emissions Score', 'Environmental Innovation Score', 'Shareholders Score', 'Workforce Score')",0.024
"('Emissions Score', 'Human Rights Score', 'Product Responsibility Score', 'Resource Use Score')",0.052
"('Emissions Score', 'Human Rights Score', 'Product Responsibility Score', 'Shareholders Score')",0.037
"('Emissions Score', 'Human Rights Score', 'Product Responsibility Score', 'Workforce Score')",0.038
"('Emissions Score', 'Human Rights Score', 'Resource Use Score', 'Shareholders Score')",0.054
"('Emissions Score', 'Human Rights Score', 'Resource Use Score', 'Workforce Score')",0.052
"('Emissions Score', 'Human Rights Score', 'Shareholders Score', 'Workforce Score')",0.040
"('Emissions Score', 'Product Responsibility Score', 'Resource Use Score', 'Shareholders Score')",0.037
"('Emissions Score', 'Product Responsibility Score', 'Resource Use Score', 'Workforce Score')",0.036
"('Emissions Score', 'Product Responsibility Score', 'Shareholders Score', 'Workforce Score')",0.021
"('Emissions Score', 'Resource Use Score', 'Shareholders Score', 'Workforce Score')",0.038
"('Environmental Innovation Score', 'Human Rights Score', 'Product Responsibility Score', 'Resource Use Score')",0.046
"('Environmental Innovation Score', 'Human Rights Score', 'Product Responsibility Score', 'Shareholders Score')",0.040
"('Environmental Innovation Score', 'Human Rights Score', 'Product Responsibility Score', 'Workforce Score')",0.037
"('Environmental Innovation Score', 'Human Rights Score', 'Resource Use Score', 'Shareholders Score')",0.049
"('Environmental Innovation Score', 'Human Rights Score', 'Resource Use Score', 'Workforce Score')",0.046
"('Environmental Innovation Score', 'Human Rights Score', 'Shareholders Score', 'Workforce Score')",0.040
"('Environmental Innovation Score', 'Product Responsibility Score', 'Resource Use Score', 'Shareholders Score')",0.038
"('Environmental Innovation Score', 'Product Responsibility Score', 'Resource Use Score', 'Workforce Score')",0.035
"('Environmental Innovation Score', 'Product Responsibility Score', 'Shareholders Score', 'Workforce Score')",0.025
"('Environmental Innovation Score', 'Resource Use Score', 'Shareholders Score', 'Workforce Score')",0.038
"('Human Rights Score', 'Product Responsibility Score', 'Resource Use Score', 'Shareholders Score')",0.037
"('Human Rights Score', 'Product Responsibility Score', 'Resource Use Score', 'Workforce Score')",0.031
"('Human Rights Score', 'Product Responsibility Score', 'Shareholders Score', 'Workforce Score')",0.031
"('Human Rights Score', 'Resource Use Score', 'Shareholders Score', 'Workforce Score')",0.037
"('Product Responsibility Score', 'Resource Use Score', 'Shareholders Score', 'Workforce Score')",0.027
"('CSR Strategy Score', 'Community Score', 'ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score')",0.043
"('CSR Strategy Score', 'Community Score', 'ESG Controversies Score', 'Emissions Score', 'Human Rights Score')",0.051
"('CSR Strategy Score', 'Community Score', 'ESG Controversies Score', 'Emissions Score', 'Product Responsibility Score')",0.035
"('CSR Strategy Score', 'Community Score', 'ESG Controversies Score', 'Emissions Score', 'Resource Use Score')",0.049
"('CSR Strategy Score', 'Community Score', 'ESG Controversies Score', 'Emissions Score', 'Shareholders Score')",0.047
"('CSR Strategy Score', 'Community Score', 'ESG Controversies Score', 'Emissions Score', 'Workforce Score')",0.036
"('CSR Strategy Score', 'Community Score', 'ESG Controversies Score', 'Environmental Innovation Score', 'Human Rights Score')",0.047
"('CSR Strategy Score', 'Community Score', 'ESG Controversies Score', 'Environmental Innovation Score', 'Product Responsibility Score')",0.037
"('CSR Strategy Score', 'Community Score', 'ESG Controversies Score', 'Environmental Innovation Score', 'Resource Use Score')",0.044
"('CSR Strategy Score', 'Community Score', 'ESG Controversies Score', 'Environmental Innovation Score', 'Shareholders Score')",0.046
"('CSR Strategy Score', 'Community Score', 'ESG Controversies Score', 'Environmental Innovation Score', 'Workforce Score')",0.036
"('CSR Strategy Score', 'Community Score', 'ESG Controversies Score', 'Human Rights Score', 'Product Responsibility Score')",0.032
"('CSR Strategy Score', 'Community Score', 'ESG Controversies Score', 'Human Rights Score', 'Resource Use Score')",0.034
"('CSR Strategy Score', 'Community Score', 'ESG Controversies Score', 'Human Rights Score', 'Shareholders Score')",0.041
"('CSR Strategy Score', 'Community Score', 'ESG Controversies Score', 'Human Rights Score', 'Workforce Score')",0.032
"('CSR Strategy Score', 'Community Score', 'ESG Controversies Score', 'Product Responsibility Score', 'Resource Use Score')",0.028
"('CSR Strategy Score', 'Community Score', 'ESG Controversies Score', 'Product Responsibility Score', 'Shareholders Score')",0.035
"('CSR Strategy Score', 'Community Score', 'ESG Controversies Score', 'Product Responsibility Score', 'Workforce Score')",0.023
"('CSR Strategy Score', 'Community Score', 'ESG Controversies Score', 'Resource Use Score', 'Shareholders Score')",0.038
"('CSR Strategy Score', 'Community Score', 'ESG Controversies Score', 'Resource Use Score', 'Workforce Score')",0.029
"('CSR Strategy Score', 'Community Score', 'ESG Controversies Score', 'Shareholders Score', 'Workforce Score')",0.036
"('CSR Strategy Score', 'Community Score', 'Emissions Score', 'Environmental Innovation Score', 'Human Rights Score')",0.061
"('CSR Strategy Score', 'Community Score', 'Emissions Score', 'Environmental Innovation Score', 'Product Responsibility Score')",0.045
"('CSR Strategy Score', 'Community Score', 'Emissions Score', 'Environmental Innovation Score', 'Resource Use Score')",0.059
"('CSR Strategy Score', 'Community Score', 'Emissions Score', 'Environmental Innovation Score', 'Shareholders Score')",0.054
"('CSR Strategy Score', 'Community Score', 'Emissions Score', 'Environmental Innovation Score', 'Workforce Score')",0.046
"('CSR Strategy Score', 'Community Score', 'Emissions Score', 'Human Rights Score', 'Product Responsibility Score')",0.051
"('CSR Strategy Score', 'Community Score', 'Emissions Score', 'Human Rights Score', 'Resource Use Score')",0.062
"('CSR Strategy Score', 'Community Score', 'Emissions Score', 'Human Rights Score', 'Shareholders Score')",0.060
"('CSR Strategy Score', 'Community Score', 'Emissions Score', 'Human Rights Score', 'Workforce Score')",0.052
"('CSR Strategy Score', 'Community Score', 'Emissions Score', 'Product Responsibility Score', 'Resource Use Score')",0.049
"('CSR Strategy Score', 'Community Score', 'Emissions Score', 'Product Responsibility Score', 'Shareholders Score')",0.047
"('CSR Strategy Score', 'Community Score', 'Emissions Score', 'Product Responsibility Score', 'Workforce Score')",0.037
"('CSR Strategy Score', 'Community Score', 'Emissions Score', 'Resource Use Score', 'Shareholders Score')",0.056
"('CSR Strategy Score', 'Community Score', 'Emissions Score', 'Resource Use Score', 'Workforce Score')",0.049
"('CSR Strategy Score', 'Community Score', 'Emissions Score', 'Shareholders Score', 'Workforce Score')",0.048
"('CSR Strategy Score', 'Community Score', 'Environmental Innovation Score', 'Human Rights Score', 'Product Responsibility Score')",0.046
"('CSR Strategy Score', 'Community Score', 'Environmental Innovation Score', 'Human Rights Score', 'Resource Use Score')",0.050
"('CSR Strategy Score', 'Community Score', 'Environmental Innovation Score', 'Human Rights Score', 'Shareholders Score')",0.053
"('CSR Strategy Score', 'Community Score', 'Environmental Innovation Score', 'Human Rights Score', 'Workforce Score')",0.046
"('CSR Strategy Score', 'Community Score', 'Environmental Innovation Score', 'Product Responsibility Score', 'Resource Use Score')",0.043
"('CSR Strategy Score', 'Community Score', 'Environmental Innovation Score', 'Product Responsibility Score', 'Shareholders Score')",0.046
"('CSR Strategy Score', 'Community Score', 'Environmental Innovation Score', 'Product Responsibility Score', 'Workforce Score')",0.036
"('CSR Strategy Score', 'Community Score', 'Environmental Innovation Score', 'Resource Use Score', 'Shareholders Score')",0.050
"('CSR Strategy Score', 'Community Score', 'Environmental Innovation Score', 'Resource Use Score', 'Workforce Score')",0.043
"('CSR Strategy Score', 'Community Score', 'Environmental Innovation Score', 'Shareholders Score', 'Workforce Score')",0.046
"('CSR Strategy Score', 'Community Score', 'Human Rights Score', 'Product Responsibility Score', 'Resource Use Score')",0.034
"('CSR Strategy Score', 'Community Score', 'Human Rights Score', 'Product Responsibility Score', 'Shareholders Score')",0.042
"('CSR Strategy Score', 'Community Score', 'Human Rights Score', 'Product Responsibility Score', 'Workforce Score')",0.032
"('CSR Strategy Score', 'Community Score', 'Human Rights Score', 'Resource Use Score', 'Shareholders Score')",0.042
"('CSR Strategy Score', 'Community Score', 'Human Rights Score', 'Resource Use Score', 'Workforce Score')",0.036
"('CSR Strategy Score', 'Community Score', 'Human Rights Score', 'Shareholders Score', 'Workforce Score')",0.043
"('CSR Strategy Score', 'Community Score', 'Product Responsibility Score', 'Resource Use Score', 'Shareholders Score')",0.038
"('CSR Strategy Score', 'Community Score', 'Product Responsibility Score', 'Resource Use Score', 'Workforce Score')",0.029
"('CSR Strategy Score', 'Community Score', 'Product Responsibility Score', 'Shareholders Score', 'Workforce Score')",0.036
"('CSR Strategy Score', 'Community Score', 'Resource Use Score', 'Shareholders Score', 'Workforce Score')",0.039
"('CSR Strategy Score', 'ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score', 'Human Rights Score')",0.053
"('CSR Strategy Score', 'ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score', 'Product Responsibility Score')",0.034
"('CSR Strategy Score', 'ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score', 'Resource Use Score')",0.050
"('CSR Strategy Score', 'ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score', 'Shareholders Score')",0.039
"('CSR Strategy Score', 'ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score', 'Workforce Score')",0.036
"('CSR Strategy Score', 'ESG Controversies Score', 'Emissions Score', 'Human Rights Score', 'Product Responsibility Score')",0.045
"('CSR Strategy Score', 'ESG Controversies Score', 'Emissions Score', 'Human Rights Score', 'Resource Use Score')",0.057
"('CSR Strategy Score', 'ESG Controversies Score', 'Emissions Score', 'Human Rights Score', 'Shareholders Score')",0.052
"('CSR Strategy Score', 'ESG Controversies Score', 'Emissions Score', 'Human Rights Score', 'Workforce Score')",0.046
"('CSR Strategy Score', 'ESG Controversies Score', 'Emissions Score', 'Product Responsibility Score', 'Resource Use Score')",0.041
"('CSR Strategy Score', 'ESG Controversies Score', 'Emissions Score', 'Product Responsibility Score', 'Shareholders Score')",0.034
"('CSR Strategy Score', 'ESG Controversies Score', 'Emissions Score', 'Product Responsibility Score', 'Workforce Score')",0.028
"('CSR Strategy Score', 'ESG Controversies Score', 'Emissions Score', 'Resource Use Score', 'Shareholders Score')",0.046
"('CSR Strategy Score', 'ESG Controversies Score', 'Emissions Score', 'Resource Use Score', 'Workforce Score')",0.041
"('CSR Strategy Score', 'ESG Controversies Score', 'Emissions Score', 'Shareholders Score', 'Workforce Score')",0.036
"('CSR Strategy Score', 'ESG Controversies Score', 'Environmental Innovation Score', 'Human Rights Score', 'Product Responsibility Score')",0.043
"('CSR Strategy Score', 'ESG Controversies Score', 'Environmental Innovation Score', 'Human Rights Score', 'Resource Use Score')",0.049
"('CSR Strategy Score', 'ESG Controversies Score', 'Environmental Innovation Score', 'Human Rights Score', 'Shareholders Score')",0.049
"('CSR Strategy Score', 'ESG Controversies Score', 'Environmental Innovation Score', 'Human Rights Score', 'Workforce Score')",0.042
"('CSR Strategy Score', 'ESG Controversies Score', 'Environmental Innovation Score', 'Product Responsibility Score', 'Resource Use Score')",0.039
"('CSR Strategy Score', 'ESG Controversies Score', 'Environmental Innovation Score', 'Product Responsibility Score', 'Shareholders Score')",0.037
"('CSR Strategy Score', 'ESG Controversies Score', 'Environmental Innovation Score', 'Product Responsibility Score', 'Workforce Score')",0.030
"('CSR Strategy Score', 'ESG Controversies Score', 'Environmental Innovation Score', 'Resource Use Score', 'Shareholders Score')",0.044
"('CSR Strategy Score', 'ESG Controversies Score', 'Environmental Innovation Score', 'Resource Use Score', 'Workforce Score')",0.038
"('CSR Strategy Score', 'ESG Controversies Score', 'Environmental Innovation Score', 'Shareholders Score', 'Workforce Score')",0.037
"('CSR Strategy Score', 'ESG Controversies Score', 'Human Rights Score', 'Product Responsibility Score', 'Resource Use Score')",0.031
"('CSR Strategy Score', 'ESG Controversies Score', 'Human Rights Score', 'Product Responsibility Score', 'Shareholders Score')",0.037
"('CSR Strategy Score', 'ESG Controversies Score', 'Human Rights Score', 'Product Responsibility Score', 'Workforce Score')",0.027
"('CSR Strategy Score', 'ESG Controversies Score', 'Human Rights Score', 'Resource Use Score', 'Shareholders Score')",0.039
"('CSR Strategy Score', 'ESG Controversies Score', 'Human Rights Score', 'Resource Use Score', 'Workforce Score')",0.033
"('CSR Strategy Score', 'ESG Controversies Score', 'Human Rights Score', 'Shareholders Score', 'Workforce Score')",0.037
"('CSR Strategy Score', 'ESG Controversies Score', 'Product Responsibility Score', 'Resource Use Score', 'Shareholders Score')",0.031
"('CSR Strategy Score', 'ESG Controversies Score', 'Product Responsibility Score', 'Resource Use Score', 'Workforce Score')",0.022
"('CSR Strategy Score', 'ESG Controversies Score', 'Product Responsibility Score', 'Shareholders Score', 'Workforce Score')",0.026
"('CSR Strategy Score', 'ESG Controversies Score', 'Resource Use Score', 'Shareholders Score', 'Workforce Score')",0.031
"('CSR Strategy Score', 'Emissions Score', 'Environmental Innovation Score', 'Human Rights Score', 'Product Responsibility Score')",0.056
"('CSR Strategy Score', 'Emissions Score', 'Environmental Innovation Score', 'Human Rights Score', 'Resource Use Score')",0.067
"('CSR Strategy Score', 'Emissions Score', 'Environmental Innovation Score', 'Human Rights Score', 'Shareholders Score')",0.060
"('CSR Strategy Score', 'Emissions Score', 'Environmental Innovation Score', 'Human Rights Score', 'Workforce Score')",0.056
"('CSR Strategy Score', 'Emissions Score', 'Environmental Innovation Score', 'Product Responsibility Score', 'Resource Use Score')",0.052
"('CSR Strategy Score', 'Emissions Score', 'Environmental Innovation Score', 'Product Responsibility Score', 'Shareholders Score')",0.042
"('CSR Strategy Score', 'Emissions Score', 'Environmental Innovation Score', 'Product Responsibility Score', 'Workforce Score')",0.040
"('CSR Strategy Score', 'Emissions Score', 'Environmental Innovation Score', 'Resource Use Score', 'Shareholders Score')",0.054
"('CSR Strategy Score', 'Emissions Score', 'Environmental Innovation Score', 'Resource Use Score', 'Workforce Score')",0.051
"('CSR Strategy Score', 'Emissions Score', 'Environmental Innovation Score', 'Shareholders Score', 'Workforce Score')",0.044
"('CSR Strategy Score', 'Emissions Score', 'Human Rights Score', 'Product Responsibility Score', 'Resource Use Score')",0.057
"('CSR Strategy Score', 'Emissions Score', 'Human Rights Score', 'Product Responsibility Score', 'Shareholders Score')",0.053
"('CSR Strategy Score', 'Emissions Score', 'Human Rights Score', 'Product Responsibility Score', 'Workforce Score')",0.047
"('CSR Strategy Score', 'Emissions Score', 'Human Rights Score', 'Resource Use Score', 'Shareholders Score')",0.061
"('CSR Strategy Score', 'Emissions Score', 'Human Rights Score', 'Resource Use Score', 'Workforce Score')",0.056
"('CSR Strategy Score', 'Emissions Score', 'Human Rights Score', 'Shareholders Score', 'Workforce Score')",0.053
"('CSR Strategy Score', 'Emissions Score', 'Product Responsibility Score', 'Resource Use Score', 'Shareholders Score')",0.047
"('CSR Strategy Score', 'Emissions Score', 'Product Responsibility Score', 'Resource Use Score', 'Workforce Score')",0.042
"('CSR Strategy Score', 'Emissions Score', 'Product Responsibility Score', 'Shareholders Score', 'Workforce Score')",0.038
"('CSR Strategy Score', 'Emissions Score', 'Resource Use Score', 'Shareholders Score', 'Workforce Score')",0.047
"('CSR Strategy Score', 'Environmental Innovation Score', 'Human Rights Score', 'Product Responsibility Score', 'Resource Use Score')",0.047
"('CSR Strategy Score', 'Environmental Innovation Score', 'Human Rights Score', 'Product Responsibility Score', 'Shareholders Score')",0.048
"('CSR Strategy Score', 'Environmental Innovation Score', 'Human Rights Score', 'Product Responsibility Score', 'Workforce Score')",0.042
"('CSR Strategy Score', 'Environmental Innovation Score', 'Human Rights Score', 'Resource Use Score', 'Shareholders Score')",0.052
"('CSR Strategy Score', 'Environmental Innovation Score', 'Human Rights Score', 'Resource Use Score', 'Workforce Score')",0.047
"('CSR Strategy Score', 'Environmental Innovation Score', 'Human Rights Score', 'Shareholders Score', 'Workforce Score')",0.048
"('CSR Strategy Score', 'Environmental Innovation Score', 'Product Responsibility Score', 'Resource Use Score', 'Shareholders Score')",0.043
"('CSR Strategy Score', 'Environmental Innovation Score', 'Product Responsibility Score', 'Resource Use Score', 'Workforce Score')",0.037
"('CSR Strategy Score', 'Environmental Innovation Score', 'Product Responsibility Score', 'Shareholders Score', 'Workforce Score')",0.037
"('CSR Strategy Score', 'Environmental Innovation Score', 'Resource Use Score', 'Shareholders Score', 'Workforce Score')",0.043
"('CSR Strategy Score', 'Human Rights Score', 'Product Responsibility Score', 'Resource Use Score', 'Shareholders Score')",0.038
"('CSR Strategy Score', 'Human Rights Score', 'Product Responsibility Score', 'Resource Use Score', 'Workforce Score')",0.032
"('CSR Strategy Score', 'Human Rights Score', 'Product Responsibility Score', 'Shareholders Score', 'Workforce Score')",0.037
"('CSR Strategy Score', 'Human Rights Score', 'Resource Use Score', 'Shareholders Score', 'Workforce Score')",0.040
"('CSR Strategy Score', 'Product Responsibility Score', 'Resource Use Score', 'Shareholders Score', 'Workforce Score')",0.031
"('Community Score', 'ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score', 'Human Rights Score')",0.049
"('Community Score', 'ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score', 'Product Responsibility Score')",0.029
"('Community Score', 'ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score', 'Resource Use Score')",0.054
"('Community Score', 'ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score', 'Shareholders Score')",0.033
"('Community Score', 'ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score', 'Workforce Score')",0.032
"('Community Score', 'ESG Controversies Score', 'Emissions Score', 'Human Rights Score', 'Product Responsibility Score')",0.041
"('Community Score', 'ESG Controversies Score', 'Emissions Score', 'Human Rights Score', 'Resource Use Score')",0.058
"('Community Score', 'ESG Controversies Score', 'Emissions Score', 'Human Rights Score', 'Shareholders Score')",0.046
"('Community Score', 'ESG Controversies Score', 'Emissions Score', 'Human Rights Score', 'Workforce Score')",0.043
"('Community Score', 'ESG Controversies Score', 'Emissions Score', 'Product Responsibility Score', 'Resource Use Score')",0.044
"('Community Score', 'ESG Controversies Score', 'Emissions Score', 'Product Responsibility Score', 'Shareholders Score')",0.028
"('Community Score', 'ESG Controversies Score', 'Emissions Score', 'Product Responsibility Score', 'Workforce Score')",0.026
"('Community Score', 'ESG Controversies Score', 'Emissions Score', 'Resource Use Score', 'Shareholders Score')",0.048
"('Community Score', 'ESG Controversies Score', 'Emissions Score', 'Resource Use Score', 'Workforce Score')",0.044
"('Community Score', 'ESG Controversies Score', 'Emissions Score', 'Shareholders Score', 'Workforce Score')",0.032
"('Community Score', 'ESG Controversies Score', 'Environmental Innovation Score', 'Human Rights Score', 'Product Responsibility Score')",0.043
"('Community Score', 'ESG Controversies Score', 'Environmental Innovation Score', 'Human Rights Score', 'Resource Use Score')",0.051
"('Community Score', 'ESG Controversies Score', 'Environmental Innovation Score', 'Human Rights Score', 'Shareholders Score')",0.047
"('Community Score', 'ESG Controversies Score', 'Environmental Innovation Score', 'Human Rights Score', 'Workforce Score')",0.043
"('Community Score', 'ESG Controversies Score', 'Environmental Innovation Score', 'Product Responsibility Score', 'Resource Use Score')",0.043
"('Community Score', 'ESG Controversies Score', 'Environmental Innovation Score', 'Product Responsibility Score', 'Shareholders Score')",0.033
"('Community Score', 'ESG Controversies Score', 'Environmental Innovation Score', 'Product Responsibility Score', 'Workforce Score')",0.030
"('Community Score', 'ESG Controversies Score', 'Environmental Innovation Score', 'Resource Use Score', 'Shareholders Score')",0.047
"('Community Score', 'ESG Controversies Score', 'Environmental Innovation Score', 'Resource Use Score', 'Workforce Score')",0.043
"('Community Score', 'ESG Controversies Score', 'Environmental Innovation Score', 'Shareholders Score', 'Workforce Score')",0.035
"('Community Score', 'ESG Controversies Score', 'Human Rights Score', 'Product Responsibility Score', 'Resource Use Score')",0.035
"('Community Score', 'ESG Controversies Score', 'Human Rights Score', 'Product Responsibility Score', 'Shareholders Score')",0.038
"('Community Score', 'ESG Controversies Score', 'Human Rights Score', 'Product Responsibility Score', 'Workforce Score')",0.030
"('Community Score', 'ESG Controversies Score', 'Human Rights Score', 'Resource Use Score', 'Shareholders Score')",0.041
"('Community Score', 'ESG Controversies Score', 'Human Rights Score', 'Resource Use Score', 'Workforce Score')",0.037
"('Community Score', 'ESG Controversies Score', 'Human Rights Score', 'Shareholders Score', 'Workforce Score')",0.038
"('Community Score', 'ESG Controversies Score', 'Product Responsibility Score', 'Resource Use Score', 'Shareholders Score')",0.036
"('Community Score', 'ESG Controversies Score', 'Product Responsibility Score', 'Resource Use Score', 'Workforce Score')",0.029
"('Community Score', 'ESG Controversies Score', 'Product Responsibility Score', 'Shareholders Score', 'Workforce Score')",0.027
"('Community Score', 'ESG Controversies Score', 'Resource Use Score', 'Shareholders Score', 'Workforce Score')",0.036
"('Community Score', 'Emissions Score', 'Environmental Innovation Score', 'Human Rights Score', 'Product Responsibility Score')",0.050
"('Community Score', 'Emissions Score', 'Environmental Innovation Score', 'Human Rights Score', 'Resource Use Score')",0.067
"('Community Score', 'Emissions Score', 'Environmental Innovation Score', 'Human Rights Score', 'Shareholders Score')",0.052
"('Community Score', 'Emissions Score', 'Environmental Innovation Score', 'Human Rights Score', 'Workforce Score')",0.051
"('Community Score', 'Emissions Score', 'Environmental Innovation Score', 'Product Responsibility Score', 'Resource Use Score')",0.054
"('Community Score', 'Emissions Score', 'Environmental Innovation Score', 'Product Responsibility Score', 'Shareholders Score')",0.034
"('Community Score', 'Emissions Score', 'Environmental Innovation Score', 'Product Responsibility Score', 'Workforce Score')",0.034
"('Community Score', 'Emissions Score', 'Environmental Innovation Score', 'Resource Use Score', 'Shareholders Score')",0.056
"('Community Score', 'Emissions Score', 'Environmental Innovation Score', 'Resource Use Score', 'Workforce Score')",0.054
"('Community Score', 'Emissions Score', 'Environmental Innovation Score', 'Shareholders Score', 'Workforce Score')",0.037
"('Community Score', 'Emissions Score', 'Human Rights Score', 'Product Responsibility Score', 'Resource Use Score')",0.058
"('Community Score', 'Emissions Score', 'Human Rights Score', 'Product Responsibility Score', 'Shareholders Score')",0.046
"('Community Score', 'Emissions Score', 'Human Rights Score', 'Product Responsibility Score', 'Workforce Score')",0.043
"('Community Score', 'Emissions Score', 'Human Rights Score', 'Resource Use Score', 'Shareholders Score')",0.061
"('Community Score', 'Emissions Score', 'Human Rights Score', 'Resource Use Score', 'Workforce Score')",0.058
"('Community Score', 'Emissions Score', 'Human Rights Score', 'Shareholders Score', 'Workforce Score')",0.047
"('Community Score', 'Emissions Score', 'Product Responsibility Score', 'Resource Use Score', 'Shareholders Score')",0.048
"('Community Score', 'Emissions Score', 'Product Responsibility Score', 'Resource Use Score', 'Workforce Score')",0.044
"('Community Score', 'Emissions Score', 'Product Responsibility Score', 'Shareholders Score', 'Workforce Score')",0.032
"('Community Score', 'Emissions Score', 'Resource Use Score', 'Shareholders Score', 'Workforce Score')",0.048
"('Community Score', 'Environmental Innovation Score', 'Human Rights Score', 'Product Responsibility Score', 'Resource Use Score')",0.049
"('Community Score', 'Environmental Innovation Score', 'Human Rights Score', 'Product Responsibility Score', 'Shareholders Score')",0.047
"('Community Score', 'Environmental Innovation Score', 'Human Rights Score', 'Product Responsibility Score', 'Workforce Score')",0.042
"('Community Score', 'Environmental Innovation Score', 'Human Rights Score', 'Resource Use Score', 'Shareholders Score')",0.053
"('Community Score', 'Environmental Innovation Score', 'Human Rights Score', 'Resource Use Score', 'Workforce Score')",0.050
"('Community Score', 'Environmental Innovation Score', 'Human Rights Score', 'Shareholders Score', 'Workforce Score')",0.047
"('Community Score', 'Environmental Innovation Score', 'Product Responsibility Score', 'Resource Use Score', 'Shareholders Score')",0.046
"('Community Score', 'Environmental Innovation Score', 'Product Responsibility Score', 'Resource Use Score', 'Workforce Score')",0.041
"('Community Score', 'Environmental Innovation Score', 'Product Responsibility Score', 'Shareholders Score', 'Workforce Score')",0.035
"('Community Score', 'Environmental Innovation Score', 'Resource Use Score', 'Shareholders Score', 'Workforce Score')",0.046
"('Community Score', 'Human Rights Score', 'Product Responsibility Score', 'Resource Use Score', 'Shareholders Score')",0.042
"('Community Score', 'Human Rights Score', 'Product Responsibility Score', 'Resource Use Score', 'Workforce Score')",0.036
"('Community Score', 'Human Rights Score', 'Product Responsibility Score', 'Shareholders Score', 'Workforce Score')",0.038
"('Community Score', 'Human Rights Score', 'Resource Use Score', 'Shareholders Score', 'Workforce Score')",0.043
"('Community Score', 'Product Responsibility Score', 'Resource Use Score', 'Shareholders Score', 'Workforce Score')",0.036
"('ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score', 'Human Rights Score', 'Product Responsibility Score')",0.042
"('ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score', 'Human Rights Score', 'Resource Use Score')",0.063
"('ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score', 'Human Rights Score', 'Shareholders Score')",0.041
"('ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score', 'Human Rights Score', 'Workforce Score')",0.045
"('ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score', 'Product Responsibility Score', 'Resource Use Score')",0.045
"('ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score', 'Product Responsibility Score', 'Shareholders Score')",0.017
"('ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score', 'Product Responsibility Score', 'Workforce Score')",0.025
"('ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score', 'Resource Use Score', 'Shareholders Score')",0.044
"('ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score', 'Resource Use Score', 'Workforce Score')",0.046
"('ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score', 'Shareholders Score', 'Workforce Score')",0.024
"('ESG Controversies Score', 'Emissions Score', 'Human Rights Score', 'Product Responsibility Score', 'Resource Use Score')",0.053
"('ESG Controversies Score', 'Emissions Score', 'Human Rights Score', 'Product Responsibility Score', 'Shareholders Score')",0.037
"('ESG Controversies Score', 'Emissions Score', 'Human Rights Score', 'Product Responsibility Score', 'Workforce Score')",0.038
"('ESG Controversies Score', 'Emissions Score', 'Human Rights Score', 'Resource Use Score', 'Shareholders Score')",0.054
"('ESG Controversies Score', 'Emissions Score', 'Human Rights Score', 'Resource Use Score', 'Workforce Score')",0.053
"('ESG Controversies Score', 'Emissions Score', 'Human Rights Score', 'Shareholders Score', 'Workforce Score')",0.040
"('ESG Controversies Score', 'Emissions Score', 'Product Responsibility Score', 'Resource Use Score', 'Shareholders Score')",0.037
"('ESG Controversies Score', 'Emissions Score', 'Product Responsibility Score', 'Resource Use Score', 'Workforce Score')",0.036
"('ESG Controversies Score', 'Emissions Score', 'Product Responsibility Score', 'Shareholders Score', 'Workforce Score')",0.021
"('ESG Controversies Score', 'Emissions Score', 'Resource Use Score', 'Shareholders Score', 'Workforce Score')",0.038
"('ESG Controversies Score', 'Environmental Innovation Score', 'Human Rights Score', 'Product Responsibility Score', 'Resource Use Score')",0.048
"('ESG Controversies Score', 'Environmental Innovation Score', 'Human Rights Score', 'Product Responsibility Score', 'Shareholders Score')",0.041
"('ESG Controversies Score', 'Environmental Innovation Score', 'Human Rights Score', 'Product Responsibility Score', 'Workforce Score')",0.039
